"gene_set","gene"
"clean_D2","ARAP1"
"clean_D2","GUK1"
"clean_D2","IGDCC4"
"clean_D2","CHD3"
"clean_D2","NDUFA3"
"clean_D2","PSMB8"
"clean_D2","KLHDC3"
"clean_D2","MIF"
"clean_D2","GOLGA3"
"clean_D2","ST6GALNAC6"
"clean_D2","THOC6"
"clean_D2","GTF3C1"
"clean_D2","GNG5"
"clean_D2","BAD"
"clean_D2","DPYSL3"
"clean_D2","TIMM8B"
"clean_D2","MYO1C"
"clean_D2","CRELD2"
"clean_D2","CALR"
"clean_D2","C11orf68"
"clean_D2","B2M"
"clean_D2","C19orf24"
"clean_D2","FAM102A"
"clean_D2","NUTF2"
"clean_D2","UROS"
"clean_D2","CALM3"
"clean_D2","PRICKLE1"
"clean_D2","TXNDC15"
"clean_D2","EFEMP1"
"clean_D2","CCDC124"
"clean_D2","NDUFB2"
"clean_D2","GRINA"
"clean_D2","FAM177A1"
"clean_D2","GIPC1"
"clean_D2","ZNF106"
"clean_D2","SLC12A4"
"clean_D2","SRPX2"
"clean_D2","ECHS1"
"clean_D2","ANXA1"
"clean_D2","FAM234A"
"clean_D2","TWF2"
"clean_D2","ITGA5"
"clean_D2","RARRES3"
"clean_D2","AKR1C3"
"clean_D2","TMEM208"
"clean_D2","BUD31"
"clean_D2","CCDC167"
"clean_D2","SCARF2"
"clean_D2","RNPEPL1"
"clean_D2","OLFM2"
"clean_D2","SPINT2"
"clean_D2","BRI3"
"clean_D2","RP11-196G11.1"
"clean_D2","KCNK6"
"clean_D2","LRPAP1"
"clean_D2","FBLIM1"
"clean_D2","ARSA"
"clean_D2","RNASEH2C"
"clean_D2","TXNL4A"
"clean_D2","GTF3C6"
"clean_D2","AKT1S1"
"clean_D2","SH3GL1"
"clean_D2","AP3D1"
"clean_D2","QSOX1"
"clean_D2","TXLNA"
"clean_D2","GPC6"
"clean_D2","LTBP3"
"clean_D2","FAM229B"
"clean_D2","C12orf75"
"clean_D2","SRM"
"clean_D2","PPDPF"
"clean_D2","PRKCDBP"
"clean_D2","GTF3A"
"clean_D2","JDP2"
"clean_D2","RP11-282O18.3"
"clean_D2","TRAPPC1"
"clean_D2","GSR"
"clean_D2","PDIA5"
"clean_D2","RHOC"
"clean_D2","UROD"
"clean_D2","IMPDH1"
"clean_D2","YIF1B"
"clean_D2","MED8"
"clean_D2","UQCC2"
"clean_D2","CD276"
"clean_D2","GLMP"
"clean_D2","BTN3A2"
"clean_D2","TANC2"
"clean_D2","ZNHIT1"
"clean_D2","EIF4G1"
"clean_D2","UQCRQ"
"clean_D2","GRIN2D"
"clean_D2","COPA"
"clean_D2","FMO1"
"clean_D2","CD63"
"clean_D2","ARPC4"
"clean_D2","ITGB1BP1"
"clean_D2","NDST1"
"clean_D2","CHPF2"
"clean_D2","GLT8D2"
"clean_D2","ATP6V0D1"
"clean_D2","SEMA3C"
"clean_D2","PLEKHA4"
"clean_D2","ARPC1A"
"clean_D2","A2M"
"clean_D2","CDK2AP1"
"clean_D2","MINOS1-NBL1"
"clean_D2","HAPLN3"
"clean_D2","TPM2"
"clean_D2","ZEB1"
"clean_D2","ERCC1"
"clean_D2","MEIS3"
"clean_D2","ACTB"
"clean_D2","MYLK"
"clean_D2","CD82"
"clean_D2","PLXNB2"
"clean_D2","PLOD2"
"clean_D2","LINC01615"
"clean_D2","SLC39A13"
"clean_D2","ARHGAP28"
"clean_D2","RAD51B"
"clean_D2","CTSC"
"clean_D2","NANS"
"clean_D2","GAA"
"clean_D2","TNFRSF1A"
"clean_D2","GALNT2"
"clean_D2","PLAUR"
"clean_D2","PAPSS2"
"clean_D2","DAPK3"
"clean_D2","GPI"
"clean_D2","AGTRAP"
"clean_D2","HOMER3"
"clean_D2","NAA10"
"clean_D2","COPZ1"
"clean_D2","NRBP1"
"clean_D2","NPTX2"
"clean_D2","CXXC5"
"clean_D2","TMEM147"
"clean_D2","CTTN"
"clean_D2","METRNL"
"clean_D2","XBP1"
"clean_D2","FUT11"
"clean_D2","DNPH1"
"clean_D2","ST3GAL2"
"clean_D2","FIBP"
"clean_D2","ETHE1"
"clean_D2","TMEM219"
"clean_D2","CDC42EP5"
"clean_D2","C7orf73"
"clean_D2","S100A13"
"clean_D2","ZYX"
"clean_D2","PDZRN4"
"clean_D2","MAP7D1"
"clean_D2","FHL3"
"clean_D2","PGLS"
"clean_D2","CAPZB"
"clean_D2","ERI3"
"clean_D2","PDE4DIP"
"clean_D2","GALNT10"
"clean_D2","B4GALT1"
"clean_D2","NME1"
"clean_D2","LMF2"
"clean_D2","DPM2"
"clean_D2","VTI1B"
"clean_D2","TRAPPC2L"
"clean_D2","THBS3"
"clean_D2","CNN2"
"clean_D2","DYNLT1"
"clean_D2","VGLL3"
"clean_D2","TRIOBP"
"clean_D2","THBS1"
"clean_D2","EPHB3"
"clean_D2","POMP"
"clean_D2","MFAP2"
"clean_D2","FAM195B"
"clean_D2","C11orf96"
"clean_D2","PXDN"
"clean_D2","COMMD5"
"clean_D2","P4HA3"
"clean_D2","VOPP1"
"clean_D2","ALDH1L2"
"clean_D2","TNFSF10"
"clean_D2","HEXA"
"clean_D2","SEMA3B"
"clean_D2","UBE2L6"
"clean_D2","SURF4"
"clean_D2","SPARCL1"
"clean_D2","LASP1"
"clean_D2","TP53I3"
"clean_D2","SRPRB"
"clean_D2","SHISA5"
"clean_D2","CTGF"
"clean_D2","AC024592.12"
"clean_D2","TENM3"
"clean_D2","TMEM261"
"clean_D2","JTB"
"clean_D2","NSMCE1"
"clean_D2","CCDC28B"
"clean_D2","GRN"
"clean_D2","FLNA"
"clean_D2","COPG1"
"clean_D2","EIF4E2"
"clean_D2","LAMB2"
"clean_D2","SHC1"
"clean_D2","LUM"
"clean_D2","ISLR"
"clean_D2","MYO1D"
"clean_D2","NEK6"
"clean_D2","PGM1"
"clean_D2","PFN1"
"clean_D2","TMEM176B"
"clean_D2","MLEC"
"clean_D2","HN1"
"clean_D2","EDIL3"
"clean_D2","SNF8"
"clean_D2","MPG"
"clean_D2","LINC01116"
"clean_D2","SWI5"
"clean_D2","NXN"
"clean_D2","PTN"
"clean_D2","TPM4"
"clean_D2","FAM89B"
"clean_D2","SMCO4"
"clean_D2","APBB2"
"clean_D2","A1BG"
"clean_D2","HES4"
"clean_D2","SSR4"
"clean_D2","VAMP5"
"clean_D2","CTSZ"
"clean_D2","FIBIN"
"clean_D2","DNAJC1"
"clean_D2","ZFHX4"
"clean_D2","NEK10"
"clean_D2","SGCD"
"clean_D2","MSRB3"
"clean_D2","PGAM1"
"clean_D2","LRRC59"
"clean_D2","TAF10"
"clean_D2","GPAA1"
"clean_D2","DBN1"
"clean_D2","APOL2"
"clean_D2","MAP4"
"clean_D2","NDUFS8"
"clean_D2","CAMK1D"
"clean_D2","SH3PXD2A"
"clean_D2","LAMC1"
"clean_D2","MYH9"
"clean_D2","PLPP4"
"clean_D2","SEC24D"
"clean_D2","EIF4EBP1"
"clean_D2","OSTC"
"clean_D2","ILK"
"clean_D2","COPE"
"clean_D2","AHR"
"clean_D2","FAM50A"
"clean_D2","RYR2"
"clean_D2","CNN3"
"clean_D2","NGFR"
"clean_D2","CCDC107"
"clean_D2","AQP1"
"clean_D2","CYR61"
"clean_D2","SMTN"
"clean_D2","DAP"
"clean_D2","PHLDA3"
"clean_D2","GARS"
"clean_D2","CGREF1"
"clean_D2","IDH2"
