"gene","discovery_detection_fraction","discovery_detection_eligible","metacell_variance","selected_top_variable","clean_program"
"RAP1GAP",0.00560747663551402,FALSE,NA,FALSE,NA
"CDC42",0.520560747663551,TRUE,0.0195598979258443,TRUE,NA
"LDLRAD2",0.0205607476635514,FALSE,NA,FALSE,NA
"CELA3A",0,FALSE,NA,FALSE,NA
"WNT4",0.0383177570093458,FALSE,NA,FALSE,NA
"RP1-224A6.3",0,FALSE,NA,FALSE,NA
"LINC00339",0.0336448598130841,FALSE,NA,FALSE,NA
"RP1-224A6.9",0,FALSE,NA,FALSE,NA
"ZBTB40",0.0672897196261682,TRUE,0.00145089833498869,FALSE,NA
"EPHA8",0,FALSE,NA,FALSE,NA
"C1QA",0.0158878504672897,FALSE,NA,FALSE,NA
"C1QB",0.00373831775700935,FALSE,NA,FALSE,NA
"C1QC",0.00841121495327103,FALSE,NA,FALSE,NA
"C1orf234",0,FALSE,NA,FALSE,NA
"LUZP1",0.15981308411215,TRUE,0.00405516327820303,FALSE,NA
"EPHB2",0.152336448598131,TRUE,0.00678985196566265,TRUE,"clean_D2"
"KDM1A",0.165420560747664,TRUE,0.00278174906997306,FALSE,NA
"HNRNPR",0.320560747663551,TRUE,0.00981970650845909,TRUE,NA
"RP1-184J9.2",0.0355140186915888,FALSE,NA,FALSE,NA
"RPL11",0.986915887850467,TRUE,0.127319990599079,TRUE,NA
"TCEA3",0.260747663551402,TRUE,0.00586268803902176,TRUE,NA
"ASAP3",0.241121495327103,TRUE,0.00713568121692371,TRUE,NA
"ZNF436",0.0663551401869159,TRUE,0.00101328463341344,FALSE,NA
"HTR1D",0.000934579439252336,FALSE,NA,FALSE,NA
"LINC01355",0.000934579439252336,FALSE,NA,FALSE,NA
"ID3",0.395327102803738,TRUE,0.0200880083099352,TRUE,NA
"ZNF436-AS1",0.00841121495327103,FALSE,NA,FALSE,NA
"RP5-1057J7.7",0.00373831775700935,FALSE,NA,FALSE,NA
"MDS2",0.00186915887850467,FALSE,NA,FALSE,NA
"PITHD1",0.15607476635514,TRUE,0.00270715467265546,FALSE,NA
"E2F2",0.00467289719626168,FALSE,NA,FALSE,NA
"TCEB3-AS1",0.0327102803738318,FALSE,NA,FALSE,NA
"HMGCL",0.104672897196262,TRUE,0.00108344665319727,FALSE,NA
"GALE",0.0224299065420561,FALSE,NA,FALSE,NA
"RP1-150O5.3",0,FALSE,NA,FALSE,NA
"FUCA1",0.0373831775700935,FALSE,NA,FALSE,NA
"TCEB3",0.091588785046729,TRUE,0.00107077110636603,FALSE,NA
"LYPLA2",0.0953271028037383,TRUE,0.00123400244419345,FALSE,NA
"SRSF10",0.217757009345794,TRUE,0.00539021042637451,FALSE,NA
"CNR2",0.000934579439252336,FALSE,NA,FALSE,NA
"PNRC2",0.209345794392523,TRUE,0.00345157615303023,FALSE,NA
"RP11-293P20.2",0,FALSE,NA,FALSE,NA
"IFNLR1",0.0102803738317757,FALSE,NA,FALSE,NA
"IL22RA1",0.014018691588785,FALSE,NA,FALSE,NA
"MYOM3",0.00280373831775701,FALSE,NA,FALSE,NA
"GRHL3",0.014018691588785,FALSE,NA,FALSE,NA
"CLIC4",0.351401869158878,TRUE,0.0262606417596273,TRUE,NA
"RP11-10N16.2",0,FALSE,NA,FALSE,NA
"STPG1",0.0205607476635514,FALSE,NA,FALSE,NA
"RP11-10N16.3",0,FALSE,NA,FALSE,NA
"RCAN3",0.0383177570093458,FALSE,NA,FALSE,NA
"SRRM1",0.317757009345794,TRUE,0.00970567163633331,TRUE,NA
"NIPAL3",0.0775700934579439,TRUE,0.00395601422239278,FALSE,NA
"RP4-594I10.3",0.00186915887850467,FALSE,NA,FALSE,NA
"NCMAP",0.000934579439252336,FALSE,NA,FALSE,NA
"SYF2",0.276635514018692,TRUE,0.0102800803570677,TRUE,NA
"RUNX3",0.097196261682243,TRUE,0.0160931840529151,TRUE,NA
"RP11-84D1.2",0,FALSE,NA,FALSE,NA
"RHCE",0.011214953271028,FALSE,NA,FALSE,NA
"RP4-799D16.1",0,FALSE,NA,FALSE,NA
"RSRP1",0.219626168224299,TRUE,0.0115160272365471,TRUE,NA
"TMEM50A",0.368224299065421,TRUE,0.0150656260157596,TRUE,NA
"TMEM57",0.153271028037383,TRUE,0.00441660303617553,FALSE,NA
"RP3-465N24.6",0.00186915887850467,FALSE,NA,FALSE,NA
"LDLRAP1",0.0850467289719626,TRUE,0.000831240197709881,FALSE,NA
"RHD",0.014018691588785,FALSE,NA,FALSE,NA
"RP11-70P17.1",0.00373831775700935,FALSE,NA,FALSE,NA
"MAN1C1",0.185046728971963,TRUE,0.00850245523903758,TRUE,"clean_D2"
"SEPN1",0.270093457943925,TRUE,0.00813514323331677,TRUE,"clean_D2"
