"gene","raw_cluster","dynamic_module","peak_bin","trough_bin","spearman_rho","q_value","expressed_fraction","mean_expression","direction"
"NRP2","1","D2_late_increasing","28","13","0.211255354516691","4.082391597839e-12","0.196261682242991","0.12283699274707","increases_with_pseudotime"
"PLXNA2","1","D2_late_increasing","29","7","0.211378136938116","3.97044895035058e-12","0.119626168224299","0.0740237634946913","increases_with_pseudotime"
"C4orf3","1","D2_late_increasing","27","30","0.211574555372618","3.79023476321648e-12","0.461682242990654","0.363587572433743","increases_with_pseudotime"
"RBCK1","1","D2_late_increasing","26","4","0.211657690696962","3.71828434065386e-12","0.235514018691589","0.137255258028671","increases_with_pseudotime"
"PKM","1","D2_late_increasing","27","3","0.211965482468756","3.45509505507476e-12","0.573831775700935","0.558301412346366","increases_with_pseudotime"
"MAGOHB","1","D2_late_increasing","28","3","0.212300217610379","3.19213458623278e-12","0.107476635514019","0.0480279103798724","increases_with_pseudotime"
"MAP2K2","1","D2_late_increasing","28","3","0.212383091731176","3.13151836605998e-12","0.298130841121495","0.189685636436526","increases_with_pseudotime"
"ORMDL3","1","D2_late_increasing","26","5","0.212414163895739","3.11080613529948e-12","0.189719626168224","0.100598700910562","increases_with_pseudotime"
"CDIPT","1","D2_late_increasing","28","6","0.212801261028019","2.83476625206081e-12","0.278504672897196","0.170947751991085","increases_with_pseudotime"
"AGPAT1","1","D2_late_increasing","28","30","0.212832509155758","2.81585691193343e-12","0.188785046728972","0.107871119281106","increases_with_pseudotime"
"CFL1","1","D2_late_increasing","27","30","0.213082321471487","2.65252016495495e-12","0.719626168224299","0.961699440867432","increases_with_pseudotime"
"PACS2","1","D2_late_increasing","27","12","0.213312247190651","2.51058495163647e-12","0.18785046728972","0.108909292525184","increases_with_pseudotime"
"GJA1","1","D2_late_increasing","27","4","0.213749778618311","2.25892094282506e-12","0.380373831775701","0.282656731593151","increases_with_pseudotime"
"KDELR1","1","D2_late_increasing","28","3","0.21385291199362","2.20479884334413e-12","0.538317757009346","0.457846064428672","increases_with_pseudotime"
"ZNF593","1","D2_late_increasing","28","30","0.213993557814706","2.13424531292576e-12","0.179439252336449","0.106629512450001","increases_with_pseudotime"
"CORO1C","1","D2_late_increasing","28","6","0.214138158604255","2.06206815870481e-12","0.189719626168224","0.110252371580242","increases_with_pseudotime"
"RTN4RL2","1","D2_late_increasing","24","2","0.214388557262409","1.94142395850925e-12","0.114018691588785","0.0534914597687716","increases_with_pseudotime"
"PSME2","1","D2_late_increasing","26","30","0.214392170920339","1.94142395850925e-12","0.331775700934579","0.223447335064104","increases_with_pseudotime"
