"cell","ordering_set","pseudotime","program","sample","condition"
"K712771_CELL6542_N3","program_DE_all1586",17.461878164499,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6576_N2","program_DE_all1586",12.0548813097148,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL6579_N2","program_DE_all1586",18.0103099202935,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL6732_N2","program_DE_all1586",20.156778182691,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6787_N2","program_DE_all1586",12.1098685107798,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL6857_N3","program_DE_all1586",20.2493482345973,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL7321_N4","program_DE_all1586",18.4421877141117,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL7398_N2","program_DE_all1586",18.8759270286823,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL7490_N2","program_DE_all1586",19.7465956734464,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL8181_N2","program_DE_all1586",18.5371368267374,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL8397_N3","program_DE_all1586",12.1851738479026,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL8809_N1","program_DE_all1586",11.9369827897029,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL8906_N2","program_DE_all1586",20.3389915554641,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL8975_N2","program_DE_all1586",9.81050902822341,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL9044_N2","program_DE_all1586",18.550136564209,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL9469_N1","program_DE_all1586",11.7837622262329,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL9682_N5","program_DE_all1586",19.9736847217198,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL10156_N2","program_DE_all1586",5.13712228375877,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL10795_N1","program_DE_all1586",11.7922746838626,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11078_N2","program_DE_all1586",10.7583117117693,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11095_N3","program_DE_all1586",20.1377155276535,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL11452_N2","program_DE_all1586",19.8914592619273,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11479_N2","program_DE_all1586",12.7663695453294,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11481_N2","program_DE_all1586",14.6557619337488,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11522_N3","program_DE_all1586",13.8003247517614,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11558_N3","program_DE_all1586",12.9228306907107,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL11931_N2","program_DE_all1586",19.8269809155664,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL12144_N2","program_DE_all1586",19.8433090377482,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL12364_N3","program_DE_all1586",20.2165308225963,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL12466_N1","program_DE_all1586",3.80944267133431,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL12512_N1","program_DE_all1586",9.61437505213446,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL12584_N2","program_DE_all1586",6.99670140940039,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL12890_N2","program_DE_all1586",9.27688938500396,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL13133_N1","program_DE_all1586",14.1355265036444,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL13267_N1","program_DE_all1586",6.43762762585016,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL13941_N1","program_DE_all1586",10.6871069104687,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL14353_N1","program_DE_all1586",17.4946835399918,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL15190_N1","program_DE_all1586",13.7010064132282,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL15220_N1","program_DE_all1586",11.0431957200162,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL16633_N1","program_DE_all1586",10.7523663660589,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL16714_N1","program_DE_all1586",20.0897672129242,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL17064_N1","program_DE_all1586",20.7164591705391,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL17104_N1","program_DE_all1586",21.6057133562495,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL17382_N1","program_DE_all1586",11.2747001547829,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL18078_N1","program_DE_all1586",18.312100873187,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL18219_N1","program_DE_all1586",18.2190787130705,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL19019_N1","program_DE_all1586",20.5142799526523,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL19429_N1","program_DE_all1586",10.2862029155158,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL19483_N1","program_DE_all1586",18.2209603810271,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL20341_N1","program_DE_all1586",14.1663634508163,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL20624_N1","program_DE_all1586",17.6831550457282,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL20715_N1","program_DE_all1586",19.8993241218616,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL21116_N1","program_DE_all1586",20.0115766572112,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL21319_N1","program_DE_all1586",9.39079513568603,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL21676_N1","program_DE_all1586",12.3445816807711,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"K712771_CELL21794_N1","program_DE_all1586",22.0921340127793,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL22525_N1","program_DE_all1586",10.1440802215936,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL23153_N1","program_DE_all1586",15.1302194519617,"ECM-producing fibroblasts","K712771","Keloid"
"K712771_CELL23672_N1","program_DE_all1586",20.5289553988721,"Matrix-remodeling fibroblasts","K712771","Keloid"
"K712771_CELL23805_N1","program_DE_all1586",11.7889782445417,"Homeostatic/regulatory fibroblasts","K712771","Keloid"
"N176712_CELL1209_N3","program_DE_all1586",8.32081139818411,"Matrix-remodeling fibroblasts","N176712","Normal"
"N176712_CELL2777_N3","program_DE_all1586",7.63301497843142,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL3232_N2","program_DE_all1586",0.919628181840551,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL3900_N2","program_DE_all1586",8.22683799180802,"Homeostatic/regulatory fibroblasts","N176712","Normal"
"N176712_CELL4364_N2","program_DE_all1586",6.42362974881021,"Matrix-remodeling fibroblasts","N176712","Normal"
"N176712_CELL5248_N3","program_DE_all1586",1.42930502692278,"ECM-producing fibroblasts","N176712","Normal"
